case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis
1,DZA,Algeria,1945,0,1.191,0,0,0,29.41176471,0,0,1,no_crisis
1,DZA,Algeria,1946,0,1.191,0,0,0,18.18181818,0,0,0,no_crisis
1,DZA,Algeria,1947,0,1.193,0,0,0,69.23076923,0,0,1,no_crisis
1,DZA,Algeria,1948,0,2.662,0,0,0,63.63636364,0,0,1,no_crisis
1,DZA,Algeria,1949,0,3.49,0,0,0,23.61111111,0,0,1,no_crisis
1,DZA,Algeria,1950,0,3.499,0,0,0,0,0,0,0,no_crisis
1,DZA,Algeria,1951,0,3.5,0,0,0,6.741573034,0,0,0,no_crisis
1,DZA,Algeria,1952,0,3.5,0,0,0,6.315789474,0,0,0,no_crisis
1,DZA,Algeria,1953,0,3.5,0,0,0,-0.99009901,0,0,0,no_crisis
1,DZA,Algeria,1954,0,3.5,0,0,0,1,0,0,0,no_crisis
1,DZA,Algeria,1955,0,3.5,0,0,0,0,0,0,0,no_crisis
1,DZA,Algeria,1956,0,3.5,0,0,0,1.98019802,0,0,0,no_crisis
1,DZA,Algeria,1974,0,3.997,0,0,0,8.87917187,1,0,0,no_crisis
1,DZA,Algeria,1978,0,3.8345,0,0,0,9.668492611,1,0,0,no_crisis
1,DZA,Algeria,1979,0,3.7555,0,0,0,14.60957788,1,0,0,no_crisis
1,DZA,Algeria,1980,0,3.9715,0,0,0,9.668,1,0,0,no_crisis
19,EGY,Egypt,1989,0,1.1,0,0,0,20.129,1,1,1,no_crisis
19,EGY,Egypt,1990,0,2,0,0,0,21.219,1,1,1,crisis
19,EGY,Egypt,1991,0,3.33221,0,0,0,14.737,1,1,0,crisis
19,EGY,Egypt,1992,0,3.33861,0,0,0,21.142,1,0,1,crisis
19,EGY,Egypt,1993,0,3.3718,0,0,0,11.042,1,0,0,crisis
19,EGY,Egypt,1994,0,3.391,0,0,0,9.046,1,0,0,crisis
19,EGY,Egypt,1995,0,3.39,0,0,0,9.361,1,0,0,crisis
19,EGY,Egypt,1996,0,3.388,0,0,0,7.095,1,0,0,no_crisis
19,EGY,Egypt,1997,0,3.388,0,0,0,6.167,1,0,0,no_crisis
19,EGY,Egypt,1998,0,3.388,0,0,0,5.041,1,0,0,no_crisis
19,EGY,Egypt,1999,0,3.405,0,0,0,3.745,1,0,0,no_crisis
19,EGY,Egypt,2000,0,3.69,0,0,0,2.849,1,0,0,no_crisis
38,MUS,Mauritius,1947,0,3.3085,0,0,0,-9.090909091,0,0,0,no_crisis
38,MUS,Mauritius,1948,0,3.3085,0,0,0,31.99785465,0,0,1,no_crisis
40,MAR,Morocco,1946,0,1.2228,0,0,0,56.75522894,0,0,1,no_crisis
40,MAR,Morocco,1947,0,1.2228,0,0,0,57.47303544,0,1,1,no_crisis
40,MAR,Morocco,1948,0,1.2228,0,0,0,40.14656285,0,0,1,no_crisis
40,MAR,Morocco,1949,0,2.197,0,0,0,22.99979203,0,1,1,no_crisis
40,MAR,Morocco,1950,0,3.5824,0,0,0,1.625584232,0,1,0,no_crisis
40,MAR,Morocco,1951,0,3.5824,0,0,0,23.2010648,0,0,1,no_crisis
40,MAR,Morocco,1952,0,3.5824,0,0,0,5.194366741,0,0,0,no_crisis
40,MAR,Morocco,1953,0,3.5824,0,0,0,-1.234239604,0,0,0,no_crisis
40,MAR,Morocco,1954,0,3.5824,0,0,0,2.49932689,0,0,0,no_crisis
40,MAR,Morocco,1955,0,3.5824,0,0,0,5.86226574,0,0,0,no_crisis
40,MAR,Morocco,1956,0,3.5824,0,0,0,5.714750199,1,0,0,no_crisis
40,MAR,Morocco,1957,0,3.5875,0,0,0,2.317242942,1,0,0,no_crisis
40,MAR,Morocco,1973,0,3.8851,0,0,0,7.193348119,1,0,0,no_crisis
40,MAR,Morocco,1975,0,3.8379,0,0,0,7.00696628,1,0,0,no_crisis
40,MAR,Morocco,1978,0,3.88645,0,0,0,9.720054887,1,0,0,no_crisis
40,MAR,Morocco,1979,0,3.7388,0,0,0,8.651393052,1,0,0,no_crisis
45,NGA,Nigeria,1986,0,3.316749585,0,0,0,6.25,1,1,0,no_crisis
56,ZAF,South Africa,1982,0,1.076310408,0,0,0,14.4,1,0,0,no_crisis
56,ZAF,South Africa,1983,0,1.221896383,0,0,0,12.587,1,0,0,no_crisis
56,ZAF,South Africa,1984,0,1.984914649,0,0,0,11.18,1,1,0,no_crisis
56,ZAF,South Africa,1985,0,2.557544764,0,1,0.36,16.201,1,1,0,no_crisis
56,ZAF,South Africa,1986,0,2.183406114,0,1,0.36,18.75,1,0,0,no_crisis
56,ZAF,South Africa,1987,0,1.929943067,0,1,0.36,16.194,1,0,0,no_crisis
56,ZAF,South Africa,1988,0,2.377725468,0,0,0,12.892,1,1,0,no_crisis
56,ZAF,South Africa,1989,0,2.536011361,0,1,0.36,14.506,1,0,0,crisis
56,ZAF,South Africa,1990,0,2.562525625,0,0,0,14.286,1,0,0,no_crisis
56,ZAF,South Africa,1991,0,2.743032697,0,0,0,15.566,1,0,0,no_crisis
56,ZAF,South Africa,1992,0,3.053,0,0,0,13.673,1,0,0,no_crisis
56,ZAF,South Africa,1993,0,3.3975,0,1,0.36,9.874,1,0,0,no_crisis
56,ZAF,South Africa,1994,0,3.5435,0,0,0,8.824,1,0,0,no_crisis
56,ZAF,South Africa,1995,0,3.6475,0,0,0,8.709,1,0,0,no_crisis
63,TUN,Tunisia,1993,1,1.0466,0,0,0,4.04,1,0,0,crisis
63,TUN,Tunisia,1997,0,1.1475,0,0,0,3.599,1,0,0,no_crisis
63,TUN,Tunisia,1998,0,1.101,0,0,0,3.102,1,0,0,no_crisis
63,TUN,Tunisia,1999,0,1.2525,0,0,0,2.768,1,0,0,no_crisis
63,TUN,Tunisia,2000,0,1.3853,0,0,0,2.77,1,0,0,no_crisis
63,TUN,Tunisia,2001,0,1.4683,0,0,0,1.987,1,0,0,no_crisis
63,TUN,Tunisia,2002,0,1.3341,0,0,0,2.706,1,0,0,no_crisis
63,TUN,Tunisia,2003,0,1.2083,0,0,0,2.724,1,0,0,no_crisis
63,TUN,Tunisia,2004,0,1.1994,0,0,0,3.621,1,0,0,no_crisis
63,TUN,Tunisia,2005,0,1.3634,0,0,0,1.444,1,0,0,no_crisis
63,TUN,Tunisia,2006,0,1.2971,0,0,0,4.143,1,0,0,no_crisis
63,TUN,Tunisia,2007,0,1.2207,0,0,0,3.438,1,0,0,no_crisis
63,TUN,Tunisia,2008,0,1.3099,0,0,0,4.913,1,0,0,no_crisis
63,TUN,Tunisia,2009,0,1.3173,0,0,0,3.53,1,0,0,no_crisis
63,TUN,Tunisia,2010,0,1.4379,0,0,0,4.409,1,0,0,no_crisis
63,TUN,Tunisia,2011,0,1.4993,0,0,0,3.541,1,0,0,no_crisis
63,TUN,Tunisia,2012,0,1.5506,0,0,0,5.139,1,0,0,no_crisis
63,TUN,Tunisia,2013,0,1.653095696,0,0,0,5.805,1,0,0,no_crisis
63,TUN,Tunisia,2014,0,1.862411798,0,0,0,4.924,1,0,0,no_crisis
69,ZMB,Zambia,1996,1,1.287,0,0,0,43.095,1,1,1,crisis
69,ZMB,Zambia,1997,1,1.44,0,0,0,24.41,1,0,1,crisis
69,ZMB,Zambia,1998,1,2.425,0,0,0,24.456,1,1,1,crisis
69,ZMB,Zambia,1999,0,2.76,0,0,0,26.79,1,0,1,no_crisis
69,ZMB,Zambia,2001,0,3.735,0,0,0,21.357,1,0,1,no_crisis
69,ZMB,Zambia,2005,0,3.34,0,0,0,18.325,1,0,0,no_crisis
69,ZMB,Zambia,2007,0,3.83,0,0,0,10.655,1,0,0,no_crisis
